,Base,EnderecoBase,base_lat_long
0,5 GBM,"Rua Rui Barbosa, 863 - Centro, Campos dos Goytacazes - RJ, 28013-001","(-21.7560766, -41.3163947)"
1,DBM 1/5 GUARUS,"Rua  Alci Ferreira - Codim, Campos dos Goytacazes - RJ, 28090-410","(-21.709383, -41.2875301)"
2,HOSP. FERREIRA M,"Rua Rocha Leão, 02 - Centro, Campos dos Goytacazes - RJ, 28051-170","(-21.7437715, -41.333381)"
3,HOSP. G. GUARUS,"Avenida Senador José Carlos Pereira Pinto, 400 - Parque Calabouco, Campos dos Goytacazes - RJ, 28083-102","(-21.7413698, -41.3129263)"
4,HOSP. SÃO JOSÉ,"Hospital São José, goytacazes, campos dos goytacazes","(-21.826222, -41.2879027)"
5,HOSP. TRAVESSÃO,"Avenida Antonio Luiz da Silveira - Centro, Campos dos Goytacazes - RJ","(-21.6093672, -41.3123019)"
6,PS GUARUS,"Rua  André Luis, 111 - Jardim Carioca, Campos dos Goytacazes - RJ, 28080-720","(-21.7454022, -41.3228796)"
7,SANDU,"Rua Saldanha Marinho, 59 - Centro, Campos dos Goytacazes - RJ, 28010-272","(-21.7642258, -41.3148822)"
8,UBS TOCOS,"Avenida José Pereira das Chagas, Tocos (Campos dos Goytacazes), Rio de Janeiro","(-21.9007729, -41.2831951)"
9,UPA,"Avenida Carlos Alberto Chebabe, 517 - Parque Guarus, Campos dos Goytacazes - RJ, 28070-272","(-21.7258082, -41.3210406)"
10,UBS Sartunino Braga,"UBS Sartunino Braga, Campos dos Goytacazes","(-21.8888664, -41.1962084)"
11,UPH F. SÃO THOMÉ,"Farol de São Thomé, Campos dos Goytacazes - RJ, 28140-000","(-22.0490129, -41.0643654)"
12,UPH MORRO DO COCO,"RJ-204, 111 - Morro do Coco, Campos dos Goytacazes - RJ","(-21.378175, -41.3542032)"
13,UPH ST EDUARDO,"Rua 13 de Outubro 69 - Santo Eduardo, campos dos Goytacazes","(-21.220248, -41.46220580000001)"
