,Facilidade,Clientes,Coord_Clientes,Coord_Facilidade,Coord_cliente_facilidade,Tempo
0,5 GBM,Alphaville,"(-21.7711892, -41.3106727)","(-21.7560766, -41.3163947)","((-21.7711892, -41.3106727), (-21.7560766, -41.3163947))",414
1,5 GBM,Baixa Grande,"(-21.9492435, -41.13520889999999)","(-21.7560766, -41.3163947)","((-21.9492435, -41.13520889999999), (-21.7560766, -41.3163947))",3003
2,5 GBM,Batista Ponto de Coqueiros,"(-21.9074616, -41.1586879)","(-21.7560766, -41.3163947)","((-21.9074616, -41.1586879), (-21.7560766, -41.3163947))",2602
3,5 GBM,Caju,"(-21.7444336, -41.3375268)","(-21.7560766, -41.3163947)","((-21.7444336, -41.3375268), (-21.7560766, -41.3163947))",507
4,5 GBM,Campo Limpo,"(-21.8595722, -41.2413952)","(-21.7560766, -41.3163947)","((-21.8595722, -41.2413952), (-21.7560766, -41.3163947))",1807
5,5 GBM,CEASA Campos dos G.,"(-21.7178297, -41.3022266)","(-21.7560766, -41.3163947)","((-21.7178297, -41.3022266), (-21.7560766, -41.3163947))",825
6,5 GBM,Centro,"(-21.760181, -41.32211410000001)","(-21.7560766, -41.3163947)","((-21.760181, -41.32211410000001), (-21.7560766, -41.3163947))",225
7,5 GBM,Chave do Paraíso de Deus,"(-21.3951104, -41.4486132)","(-21.7560766, -41.3163947)","((-21.3951104, -41.4486132), (-21.7560766, -41.3163947))",3170
8,5 GBM,Codim,"(-21.7106103, -41.2846222)","(-21.7560766, -41.3163947)","((-21.7106103, -41.2846222), (-21.7560766, -41.3163947))",1000
9,5 GBM,Conselheiro Josino,"(-21.5004534, -41.3437979)","(-21.7560766, -41.3163947)","((-21.5004534, -41.3437979), (-21.7560766, -41.3163947))",2207
10,5 GBM,Custodópolis,"(-21.7224988, -41.3097124)","(-21.7560766, -41.3163947)","((-21.7224988, -41.3097124), (-21.7560766, -41.3163947))",733
11,5 GBM,Donana,"(-21.8211884, -41.2971687)","(-21.7560766, -41.3163947)","((-21.8211884, -41.2971687), (-21.7560766, -41.3163947))",1140
12,5 GBM,Estr. Brejo Grande,"(-21.6869393, -41.2872059)","(-21.7560766, -41.3163947)","((-21.6869393, -41.2872059), (-21.7560766, -41.3163947))",1109
13,5 GBM,Estr. Bulgalho,"(-21.8392734, -41.2388999)","(-21.7560766, -41.3163947)","((-21.8392734, -41.2388999), (-21.7560766, -41.3163947))",1808
14,5 GBM,Goytacazes,"(-21.8322841, -41.2683545)","(-21.7560766, -41.3163947)","((-21.8322841, -41.2683545), (-21.7560766, -41.3163947))",1449
15,5 GBM,Guriri,"(-21.9089274, -41.4696266)","(-21.7560766, -41.3163947)","((-21.9089274, -41.4696266), (-21.7560766, -41.3163947))",2518
16,5 GBM,Horto,"(-21.7623448, -41.2984828)","(-21.7560766, -41.3163947)","((-21.7623448, -41.2984828), (-21.7560766, -41.3163947))",335
17,5 GBM,Ibitioca,"(-21.8202798, -41.4690847)","(-21.7560766, -41.3163947)","((-21.8202798, -41.4690847), (-21.7560766, -41.3163947))",2012
18,5 GBM,Ips,"(-21.7810256, -41.32185610000001)","(-21.7560766, -41.3163947)","((-21.7810256, -41.32185610000001), (-21.7560766, -41.3163947))",578
19,5 GBM,Jardim Carioca,"(-21.7471402, -41.3247611)","(-21.7560766, -41.3163947)","((-21.7471402, -41.3247611), (-21.7560766, -41.3163947))",365
20,5 GBM,Jardim das Acácias,"(-21.7924053, -41.297796)","(-21.7560766, -41.3163947)","((-21.7924053, -41.297796), (-21.7560766, -41.3163947))",840
21,5 GBM,Jardim São Benenedito (Praça Nilo Peçanha),"(-21.7646615, -41.3219307)","(-21.7560766, -41.3163947)","((-21.7646615, -41.3219307), (-21.7560766, -41.3163947))",329
22,5 GBM,Lagoa das Pedras,"(-21.6666667, -41.3333333)","(-21.7560766, -41.3163947)","((-21.6666667, -41.3333333), (-21.7560766, -41.3163947))",1567
23,5 GBM,Lagoa de Cima,"(-21.7672222, -41.5169444)","(-21.7560766, -41.3163947)","((-21.7672222, -41.5169444), (-21.7560766, -41.3163947))",2808
24,5 GBM,Lapa,"(-21.7563171, -41.3128812)","(-21.7560766, -41.3163947)","((-21.7563171, -41.3128812), (-21.7560766, -41.3163947))",219
25,5 GBM,Mineiros,"(-21.8800211, -41.2210236)","(-21.7560766, -41.3163947)","((-21.8800211, -41.2210236), (-21.7560766, -41.3163947))",2059
26,5 GBM,Nova Brasília,"(-21.7441893, -41.3581852)","(-21.7560766, -41.3163947)","((-21.7441893, -41.3581852), (-21.7560766, -41.3163947))",845
27,5 GBM,Nova Campos,"(-21.7217011, -41.3103395)","(-21.7560766, -41.3163947)","((-21.7217011, -41.3103395), (-21.7560766, -41.3163947))",712
28,5 GBM,Novo Jockey,"(-21.7792586, -41.2780066)","(-21.7560766, -41.3163947)","((-21.7792586, -41.2780066), (-21.7560766, -41.3163947))",771
29,5 GBM,Parque Aeroporto,"(-21.6969147, -41.307831)","(-21.7560766, -41.3163947)","((-21.6969147, -41.307831), (-21.7560766, -41.3163947))",1004
30,5 GBM,Parque Aldeia,"(-21.7254055, -41.332284)","(-21.7560766, -41.3163947)","((-21.7254055, -41.332284), (-21.7560766, -41.3163947))",904
31,5 GBM,Parque Alvorada,"(-21.7429556, -41.3184913)","(-21.7560766, -41.3163947)","((-21.7429556, -41.3184913), (-21.7560766, -41.3163947))",352
32,5 GBM,Parque Alzira Vargas,"(-21.7656981, -41.3252314)","(-21.7560766, -41.3163947)","((-21.7656981, -41.3252314), (-21.7560766, -41.3163947))",437
33,5 GBM,Parque Aurora,"(-21.7788905, -41.3235073)","(-21.7560766, -41.3163947)","((-21.7788905, -41.3235073), (-21.7560766, -41.3163947))",562
34,5 GBM,Parque Avenida Pelinca,"(-21.7604812, -41.3320547)","(-21.7560766, -41.3163947)","((-21.7604812, -41.3320547), (-21.7560766, -41.3163947))",485
35,5 GBM,Parque Bandeirantes,"(-21.7213412, -41.309035)","(-21.7560766, -41.3163947)","((-21.7213412, -41.309035), (-21.7560766, -41.3163947))",769
36,5 GBM,Parque Bela Vista,"(-21.7984896, -41.2968969)","(-21.7560766, -41.3163947)","((-21.7984896, -41.2968969), (-21.7560766, -41.3163947))",873
37,5 GBM,Parque Boa Vista,"(-21.6943045, -41.3184913)","(-21.7560766, -41.3163947)","((-21.6943045, -41.3184913), (-21.7560766, -41.3163947))",1198
38,5 GBM,Parque Bonsucesso,"(-21.7209727, -41.3145352)","(-21.7560766, -41.3163947)","((-21.7209727, -41.3145352), (-21.7560766, -41.3163947))",595
