Clientes;Bairros;2017;2018;2019;2020;Total
Parque Jardim das Acácias;Acácias, Parque Jardim das;2;1;30;;33
Parque Aeroporto;Aeroporto, Jardim;208;320;118;;646
Parque Alberto Torres;Alberto Torres, Parque;6;4;6;;16
Parque Aldeia;Aldeia, Parque;39;67;22;;128
Alphaville;Alphaville;28;9;12;;49
Parque Alvorada;Alvorada, Parque;23;31;47;;101
Parque Alzira Vargas;Alzira Vargas;8;1;2;;11
Parque Aurora;Aurora, Parque;146;149;186;;481
Parque Avenida Pelinca;Avenida Pelinca, Parque;32;43;152;;227
Baixa Grande;Baixa Grande;;;6;;6
Parque Bandeirantes;Bandeirantes;;;2;;2
Parque Bandeirantes;Bandeirantes, Parque;6;8;16;;30
Parque Barão do Rio Branco;Barão do Rio Branco, Parque;18;17;46;;81
Parque Bela Vista;Bela Vista, Parque;42;38;10;;90
Parque Benta Pereira;Benta Pereira, Parque;;2;;;2
Boa Vista;Boa Vista;18;62;124;;204
Parque Bonsucesso;Bonsucesso, Parque;6;5;36;;47
Estrada de Brejo Grande;Brejo Grande;26;8;14;;48
Goytacazes;Bugalho;4;4;54;;62
Caboio;Caboio;;4;;;4
Caju;Caju;43;87;88;;218
Parque Calabouco;Calabouço;126;115;248;;489
Parque California;Califórnia, Parque;201;273;197;;671
Cambaíba;Cambaíba;;;0;;0
Campelo;Campelo;;0;;;0
Campo Limpo;Campo Limpo;0;56;8;;64
Estrada de Campo Novo;Campo Novo;4;2;30;;36
Centro;Canto do Engenho;;2;;;2
Jardim Carioca;Carioca, Jardim;223;254;306;;783
Parque Carlos de Lacerda;Carlos de Lacerda, Parque;;0;2;;2
Estrada do Carvão;Carvão;10;24;84;;118
Praça de Caxias De Tocos;Caxias De Tocos;;;8;;8
Centro;Centro;2080;2143;2430;;6653
Chácara João Ferreira;Chácara João Ferreira;10;41;10;;61
Estação de Tratamento de Esgoto Chatuba;Chatuba;32;2;;;34
Chave do Paraíso;Chave do Paraíso;0;;;;0
Parque Cidade Luz;Cidade Luz, Parque;54;43;55;;152
Codim;Codin;92;76;65;;233
Tubarão do Imbé;Conceição do Imbé;;;4;;4
