Clientes;Bairros;Inverno;Outono;Primavera;Verão;2017;2018;2019;2020;Total Geral
Parque Jardim das Acácias;Acácias, Parque Jardim das;0;1;28;4;2;1;30;;33
Parque Aeroporto;Aeroporto, Jardim;102;158;180;206;208;320;118;;646
Parque Alberto Torres;Alberto Torres, Parque;4;2;8;2;6;4;6;;16
Parque Aldeia;Aldeia, Parque;12;35;18;63;39;67;22;;128
Alphaville;Alphaville;8;26;12;3;28;9;12;;49
Parque Alvorada;Alvorada, Parque;29;24;30;18;23;31;47;;101
Parque Alzira Vargas;Alzira Vargas;;4;2;5;8;1;2;;11
Parque Aurora;Aurora, Parque;130;90;98;163;146;149;186;;481
Parque Avenida Pelinca;Avenida Pelinca, Parque;80;56;70;21;32;43;152;;227
Baixa Grande;Baixa Grande;2;;4;;;;6;;6
Parque Bandeirantes;Bandeirantes;2;;;;;;2;;2
Parque Bandeirantes;Bandeirantes, Parque;16;2;8;4;6;8;16;;30
Parque Barão do Rio Branco;Barão do Rio Branco, Parque;4;50;16;11;18;17;46;;81
Parque Bela Vista;Bela Vista, Parque;10;8;34;38;42;38;10;;90
Parque Benta Pereira;Benta Pereira, Parque;;;2;;;2;;;2
Boa Vista;Boa Vista;20;70;38;76;18;62;124;;204
Parque Bonsucesso;Bonsucesso, Parque;38;7;2;0;6;5;36;;47
Estrada de Brejo Grande;Brejo Grande;2;20;26;0;26;8;14;;48
Goytacazes;Bugalho;8;;2;52;4;4;54;;62
Caboio;Caboio;;;;4;;4;;;4
Caju;Caju;48;78;42;50;43;87;88;;218
Parque Calabouco;Calabouço;104;156;160;69;126;115;248;;489
Parque California;Califórnia, Parque;151;158;108;254;201;273;197;;671
Cambaíba;Cambaíba;;;0;;;;0;;0
Campelo;Campelo;;;;0;;0;;;0
Campo Limpo;Campo Limpo;34;24;4;2;0;56;8;;64
Estrada de Campo Novo;Campo Novo;;34;;2;4;2;30;;36
Centro;Canto do Engenho;2;;;;;2;;;2
Jardim Carioca;Carioca, Jardim;231;178;245;129;223;254;306;;783
Parque Carlos de Lacerda;Carlos de Lacerda, Parque;0;;;2;;0;2;;2
Estrada do Carvão;Carvão;10;32;50;26;10;24;84;;118
Praça de Caxias De Tocos;Caxias De Tocos;;0;4;4;;;8;;8
Centro;Centro;1649;1685;1695;1624;2080;2143;2430;;6653
Chácara João Ferreira;Chácara João Ferreira;6;37;4;14;10;41;10;;61
Estação de Tratamento de Esgoto Chatuba;Chatuba;8;24;2;0;32;2;;;34
Chave do Paraíso;Chave do Paraíso;;0;;;0;;;;0
Parque Cidade Luz;Cidade Luz, Parque;21;72;16;43;54;43;55;;152
Codim;Codin;82;49;66;36;92;76;65;;233
Tubarão do Imbé;Conceição do Imbé;4;;;;;;4;;4
Conselheiro Josino;Conselheiro Josino;;6;6;0;6;;6;;12
Parque Conselheiro Tomaz Coelho;Conselheiro Tomaz Coelho, Parque;38;33;6;20;10;57;30;;97
Coqueiros - Tocos;Coqueiro de Tócos;8;;;0;8;;;;8
Correnteza - Santo Eduardo;Correnteza;2;;0;4;0;6;0;;6
Parque Corrientes;Corrientes, Parque;88;38;67;76;88;124;57;;269
Custodópolis;Custodópolis;16;60;56;95;68;26;133;;227
Parque Dom Bosco;Dom Bosco, Parque;6;9;10;0;6;5;14;;25
Donana;Donana;39;70;119;21;114;27;108;;249
Donana;Donara;;2;;;;;2;;2
Dores De Macabu;Dores De Macabu;2;0;8;0;6;4;0;;10
Parque Dr. Beda;Dr. Beda, Parque;8;4;;28;;14;26;;40
Parque Eldorado;Eldorado, Parque;180;137;114;189;256;134;230;;620
Espinho;Espinho;;;0;;0;;;;0
Parque Esplanada;Esplanada, Parque;10;22;33;22;28;18;41;;87
Penha;Estância da Penha;0;4;;;;;4;;4
Farol de São Thomé;Farol;;0;0;1;;1;0;;1
Parque Fazenda Grande;Fazenda Grande, Parque;36;2;28;36;40;26;36;;102
